label,clean_text
neg,allah ... nailbit bnay khilay mazoor ker gya hon .. eek
neg,amir liaqt shayd bhool raha junaid jamshaid ne muafi mangi .. us hisaab allah wala muafi daini wala .. ye qun apni zubn gndi kr raha gali etc good
neg,anp ne karachi ki halat kharab kar ke rakhdi gulistanejohar mein jafe flate plot peh anp walon ne qabza sponsor link
neg,aoa govt ba nahi chalta gharib awam ki ki tarah lootay jo cheezin sasti hain pa tax laga dia danay bajay ulta awaam cheeney jarah hain khayal yah govt bohat ghalat kaam sm pa 20 paisa tax laga ky
neg,aoa zardari sahab hamarai mulk kay sath kia kerna chahta hain taref hatay dosr terf hamr zindagi tourcher ker raha bijli berhna kabhi ker martba hamar ghero main ker daikh nani yaad jai gi kabi zindgi hamara hokmran kaha doond ker lay atti hain hamrai awaam nahi log voot dait hain ain allah hafiz hain ager zardari jai hamr hakoomit main pl pur zoor muzamit kere bijli ke berahanay
neg,aoa facebook hum musalamano apn deen gumrahi ki taraf le issey band kar chahiy
neg,aoa facebook band hona chahya kyounka ye sab khusasan musalmano gumrah ker
neg,aoa facebook band kar den sirf student ki parhai mutasir nahi hri balk saar boy kharab gay hain na apni fienc khayal kart hain na hi apni wife liy khuda ke liya ise band kar den thanx
neg,aoa ye manna gharyan aag karn faisla bilkul ghalat kyon pakistan main har waqt na musibat aae rehti kabhi doubbl sawari pe pabandi kabhi manna bilkul ghalat
neg,aoa .. dear countrym aj nawaz sahab abtabad ma bari ijtimah samni bari josh ma speech di kaha uni kursi ki lalach yaar nawaz paaji apko month pehli zardari uncl ma kharabiyan nazar aaien abi apki seat to mulk dam khatra lahak gya ... amaz zardari kick 4m pakistan belov countri
neg,aoa ... wiki leak jo bhi ya jhoot mei america mufaad mujh garz nahi .. mujh garz iss baat ke hamar politician apn mulk ke kitn kher khua hain barey dukh sharam sath ye mulk ke wafadar nahi america bura keht hain atleast apn mulk ke faith to hain ... wiki leak iss baat bhi gehraa yaqeen gaya ye mulk qoam dushman hain
neg,aoa ... ham muslmano lie yh almi kam ni kafar log chae hm muslno k0 use kr skte he kia hamri apni soch ni kia ... exmpl saudi arabia dekh itni bri muslman countri bawjood ke hukmran amrici hukmrano talw chatt he to kehta dunia mulk sulut kabal he to wh iran he yh woi log he jin andr imani taqat majoood he
neg,arey zalimo ... ... abi be kasar baqi mulk azabon mubtila karn ki ... mulk duuuub raha ye sirf tumhar amaaal ki waja arey to aqal nakhun lo ye sarif gumrahi mulk youngster mazid khharab karn ki sazish ... valentin day islam .. therefor shud celebratd
neg,ari amp geo ki jang abhi jaari channel walay bachchon ki tarah lartay hain agar pakistani indian channel kaa bhi tournament hojay to bara maza aay
neg,as salam gulamo pakistan khape sab gulami ki buht buht mubarek janb ye na soch sirf ramin davi raha kar deya to bu zera socho din ma jo droon haml 80 afrad halak howe hain us ma pakistan kya bane ga ager admi badl kash dahmaka howa to paher pakistan kya bane ga mere gulamo bahio apna kheyal rekhna
neg,as salam alaikum meray khayal gair muslimon nazdeek sirf sirf musalman hi dehshatgard hain america india samet kai countri shamil hain ye baat sirf non muslim he jo aesa socht hain baaqi mustasna hain hamaray mulk jo presid ya doosr leader jo kisi doosr kehn musalman khoon kr rahay hain to ghalat hain
neg,as salam alaikum mouda dor pehlay ki jo hukomat he us sirf awaam vote de ker muntakhib kerti he hukomat mayar poora nhi utarti to awaam shor machati he natija ye hota he kk assembl toot jati he new parti hukomat banati he pehlay awaam pe zulm sitam kerti he hukomat hata ker fouj aati he az elect kerati he to awaam 1st walay chun leti he halan awaam janti he govt ne pehlay kitna zulm kya to kitna karay gi lihaza kharab hukoomat laanay pooray pooray zimedar sirf hm awaam hain ham logon kisi new chunna paray ga nahi to awaam shor machan bajay khamosh tamashai ban rehna chahiy
neg,as salam alaikum facebook faida mujhay nazar aaya ... haan time zaya krna ye aap liy tb behtareen sabit gi .. ba pix lo vdoz share kr lo ... commnt diy liy .. kam ... ooper fzool kisam game nd qz .. jin mei aap bar involv jain indian soap ki trha ki jan kbi chort ... ba addict hi hoti
neg,asalaam alikam khushi ki baat musharaf sahib mustafi gay aor perwaiz musharaf gunnaho ki saza bi milni chahiy ji tarah musharaf ne lal masjid walon bambari kar aor khana peena band kar zulm keya aor ji tarah america hawalay pakistanion keya to american ne aisay aisay zulm kiy nakhan nikalay kaan naak aor unglian aor zubaan kaati aor jismon drill machin soraakh kiy aor larkion izzatain bi loot lin issi tarah musharaf bi saza deni chahiy kia musharaf he insaan woh insaan thay
neg,asalaamualikum main islam khan sahab ki baat agre nahi hon best hain kia best bacha parh parh kar mar kai dil think kay paper alag gay hain that tarha keh rahe hain totli dont agre with ur comment pehlay bacha 9th ki tiyari to achi tarha kar lay 9th kay paper de day takay chez clear us dimag kam karay booj kam us kay sar kahen kar 10th kay paper ki achi tarha tiyari sakti best nahi sorri to truth truth wrong wrong jitna bhi intellig bacha hoga woh 9th 10th sath clear nahi kar sakta agar kar bhi lay mushkilon to ya main fail hi ga dobara woh supplimentri paper denay hi hon gay nahi woh pehlay 9th clear karay then 10th
neg,asalaamualikum yeah 9th 10th kay paper seper hi honay chahiy kay hum ki parhai cover nahi kar sakti 10 ki parhai sar aa jati humain to math ki book hi nahi thin shop jao to kehti thay abhi nahi aai main aana wat thi din bad jao ya din hi jawab milta tha tiyari tarha nahi pati 9th 10th kay paper saath nahi honay chahiy
neg,asalam alikum hamari awam ki zimaydar hain leader tuo doo hath agay hi hongay na awam
neg,asalam alikum leader zimadar nahi balki awam tabahi ki zamidar ha. ghalat logon vote mulk na to tabah hona hi
neg,assalam alaikum dar asal transport mafia railway wazir bare afsaran kar kam karti hey train late karn mein bhi haat hota hey taa ke busi man awam road transport mafia ki garion men safar karn majboor jain alawa railway ticket checker quli apn 100 200 rupe ki khatir apna iman becht arah hain halat main na awam mulk mukhli hey na hukumat
neg,assalam alikum app ki web site articl likhta silsilay jawab waqai hum halat jang hain zimedar sirf zardari ya america ya india hi nahi bal zimedar had hum hi hain hum hi zardari vote diy kabhi islam ya pakistan bare kuck ulta sidha bolta to hum khamosh rehtay hain short baat kehna chata pakistan waqt na hi ataay na hi shugar na hi petrol ki zarorat bal pakistan waqt sirf sirf duaoo ki zarorat jo hum bilkul karna bhool gay hain ..
neg,assalam alikum pakistan ki nahi load shade ki problem khatam nahi hui balkey gayi baje light jati baje up ney bhi kaam krna chordiya
neg,assalam allaikum saari paaltian sirf apni tejori barhnay ke liy aayein hain pakistan aadha paisa khaa jaat hain jo bhi marzi karein nuqsaan taraf awaam hi hota nahi paisa kahan le jaayen ge nahi ke aakhri manzal kabar hi jo apni kabar azzab jaanta woh kabhi kisi bura nahi sochay ga awaam jaago pakistan hum awaam ki zaroorat sadron ki nahi
neg,assalamoalekom har woh kam ji musalmaan gumrah hoon kafroon ne ijaad kia ham musalmanoo ne dil jaan uss qabool kia kabi ameer kabi mod keh kr dil tasal di apna ghr bach berbaad hote tab ham hosh ata kia kia jaee iss masll hal siwa dua jitni haram kari face book ki wajah wajood mein aa itni shayad diamond market mein na hoti gi
neg,assalmu alaikum shukr ye sanam saeed drama khttm howa
neg,aye israeel hum tum tabsara nahi kartay han bu batatay hain hum musalman hain jo agar chahay to behtay samandron main ghhoray dura datay hian ... hut hamaray rastay werna khaak jay ga agarchay waqt halat bohat kharab hain
neg,aa gya psycho ji ye ni pehli to ye allah ki mrzi hoti ye gene mein iski bv mein ni
neg,aaaaan aaaan aaaaaan .. roo raha hon ..
neg,aaayat ul kursi lo parh ly voter bta dein intehabi neshan he mere kisi ne parhi cheat hogi
neg,aab yeah makhancho saheeh ghalat faisla karay ga
neg,27th june show telecast nahi hua kisi webit bhi upload nahi hua abhi lazmi bohat bura ga
neg,farhat uss ki teenon betiyan ghaaib theen ... wesay to aleem uddin ameer jaaedadon wala dikhaya lekin uss kay gher main waqt ghurbat hi nazar aati ... sub log saday huy kaee kaee dinon kay puranay baasi khanay khaatay hain ... kapray huliya bhi sub kaa gharibon wala hota
neg,kal garida farooqi ki guddi khoob ur shahbaz sharfi month interview garida ilawa nahi
neg,kal kay new writer beemari lag gaye kay heroin shroo aakhir episod main bu rulay jao mein hareem ki ugli roti soorat ker tang aa chuki hoon
neg,ki episod soooo bore aray bhi nxt episod samjhota hi krna wive sth rehna jee director ye kaam jaldi kyun nahi hoskta uff kahay rona dhona bilawja hi lolz
neg,aajkal kay zada ter dramon ki heroin intehai bewaqoof hona lazmi misaal kay tor iss dramay ki bewaqoof heroin maira zidd ki bewaqoof heroin saman alvida ki bewaqoof heroin haya piya mann bhay ki bewaqoof heroin mantasha dil hi to ki bewaqoof heroin sara tum kay ki bewaqoof heroin zill huma goya ki bewaqoof heroin mohini chup raho ki bewaqoof heroin rameen aajkal kay tamam writer kay paa bu hi formula kay heroin bewaqoof tareen dikh ker uss zulm kay paharr toray jao ussay rulaay jao
neg,aajkal writer ne aagi young writer rakhi hain uni 1000 rupey episod dy kar episod likhwati hain ... imran ne yehi hoga ... baqi mein to start hi drama pasand ni ... 9pm slot drama end bkwa hojati hain drag buht hain ... anoth bkwa drama ad to 9pm slot ... thank review
neg,aalia best us sath laila ne polit ki pani bharni round main pehley bhej qandeel wapa show main bulaya parchi paisey de show main wapa aai aalia bad aleena win karna chahy laila ya qandeel ne win kia fix show hoga
neg,aam si kahani sotaili maan kay zulm sitam bherpoor maria wasti husna munhh to kaala kerdetay kaheen bhi kallo lag faizan khawaja khalid sirf neg role hi kyun miltay hain ghazala butt shakeela bohot dinon nazar aayen bhunariya iss dramay main totli ban gay .. buri lag
neg,aam si kahani sazishishi chalak bhabi nahe malik mazloom nand shumail ki cast achi lekin heroin shumail kay role main achi actress hoti to zayada behter hota maza aya
neg,aamir kay paa achanak 80 000 rupay kahan agay fx kharidnay kay liye…pichlay episod to anguthiyan zevar bech ker guzara raha tha .. aamir ki tankhua bhi sirf 18000 rupay .. udhaar bhi de raha .. itni jaldi save bhi hosakti kyun kay sirf mahinno alag rahi hain end main aamir kaa rania jhaar pilana ghussa kerna bara achha laga…hahaha
neg,aamir mahinay sara kharcha apnay haath main le lena chahiy saari shop kerni chahiy kiyun kay bewaqoof rania ki fuzool kharchian to khatam hi hongi aamir kuchh jaib karch de diya karay rania iss tarah sara budget control main rahay gaa sirf log rahay hain chhotay gher main to kaam maasi ki zaroorat maasi nikaal den to kuchh bachat hogi
